WP,City,Date,WP1,WP2,N1,N2,N3,N4,Carbon,Ozone,Sulpher,OC1,IN1,OC2,IN2,SI
24,LosAngeles,25-08-2016,28.92,,10.42,11.44,27.48,,0.98,18.35,8.52,0.23,0.1,0.09,4890.96,104
25,Edinburg,27-08-2018,82.5,,10.95,11.64,17.84,,1.09,31.31,41.95,62.01,28.99,9.5,19424.96,92
26,NewYork,04-10-2019,50.37,125.85,17.08,10.17,25.51,38.27,0.66,52.24,10.65,2.21,1.94,2.5,1783.96,217
27,Coyhaique,20-03-2019,9.18,33.75,8.07,10.58,18.08,20.21,1.07,21.11,5.37,,,,10701.96,59
28,Fresno,26-08-2018,13.9,53.69,,,,,,39.62,6.01,,,,13296.96,106
29,Camden,18-06-2017,29.34,,6.7,21.59,,,0.81,21.05,3.77,4.41,,0.04,17117.96,77
30,Chico,07-08-2016,38.07,,4.23,44,4.22,,2.49,13.13,12.91,1.26,,1.64,19215.96,89
31,Bakersfield,16-12-2017,117.69,228.52,61.15,56.22,138.99,21.49,1.92,23.7,15.29,,,2.57,14786.96,215
32,Fresno,31-07-2018,,81.09,10.52,10.45,,12.61,0.38,14.04,22.3,,,,7470.96,94
33,Chico,03-09-2018,115.13,,58.92,28.86,101.95,37.41,1.7,52.44,9.52,1.78,,0.54,17684.96,337
34,LosAngeles,10-12-2015,20.72,35.96,4.53,25.29,11.9,18.59,0.35,47.61,7.05,1.24,0.06,0.29,7610.96,67
35,LosAngeles,07-06-2016,55.61,,10.64,7.87,25.65,,0.61,55.35,1.17,3.2,0.02,0.7,10250.96,100
36,Padrelascasas,08-12-2019,18.92,43.08,8.38,15.66,15.6,20.52,0.43,32.79,2.79,,,0.54,17017.96,78
37,Logan,21-09-2019,37.87,93.92,13.54,19.45,20.55,5.65,0.72,24.02,12.79,12.45,9.49,8.27,13059.96,68
38,Dallas,06-10-2020,12.35,79.9,42.91,1.33,55.49,12.61,1.58,18.53,3.6,1.3,0.16,0.68,6582.96,98
39,Carlsbad,21-08-2017,43.38,98.22,6.55,41.56,0,12.87,0.59,40.31,5.79,0.79,,0.58,17125.96,104
40,Las_cruces,04-02-2019,61.78,104.38,8.17,46.27,32.43,32.59,0.36,37.45,12.6,,,,13844.96,146
41,Sandiago,22-07-2016,22.23,,9.85,14.29,11.45,,0.59,0.6,4.89,0.05,,0.41,12892.96,58
42,Camden,26-02-2020,56.21,167,19.39,26.81,27.54,,0.65,45.18,8.8,0,,0,16868.96,156
43,Bakersfield,11-02-2015,,,,,80.02,,0,,,0,0,0,10735.96,112
44,Carlsbad,07-07-2018,12.79,89.58,7.25,10.64,9.72,2.7,0.32,14.2,1.45,,,,17499.96,38
45,Modesto,25-07-2016,26.39,51.86,18.11,27.37,33.76,19.44,0.81,63.15,9.18,23.77,0.26,1.97,11290.96,139
46,Logan,29-03-2019,43.24,92.75,2.12,24.64,17.33,20.35,0.67,32.09,9.25,5.08,1.05,3.61,2032.96,113
47,Shreveport,26-04-2019,94.09,,21.47,98.94,52.22,,70.79,51.66,89.59,5.81,3.21,0.73,15122.96,414
48,Modesto,24-04-2020,28.59,101.48,22.84,41.7,61.74,37.33,0.94,39.58,9.63,27.94,0.12,3.57,8339.96,124
49,Fresno,19-04-2020,,134.59,8.45,9.23,,,0.25,22.94,36.22,,,,11955.96,112
50,Angol,05-08-2019,40.9,136.38,2.94,14.33,15.49,16.74,0.68,54.08,11.07,8.96,,0.8,19976.96,155
51,Chico,24-11-2016,205.17,,74.07,94.88,53.15,52.78,1.4,43.37,9.55,5.47,,2.49,2917.96,324
52,Sandiago,09-02-2019,28.76,42.36,5.98,17.4,19.09,10.54,1.09,12.09,7.82,0,,0.29,16448.96,61
53,Bakersfield,16-12-2017,,,,,22.31,,0,,,0,0,0,17845.96,112
54,Sandiago,10-11-2016,67.81,,10.02,21.62,15.14,,3.5,37.2,29.85,1.16,,0.38,1124.96,196
55,NewYork,06-10-2017,52.89,76.33,16.66,31.78,,26.93,0,17.78,5.13,,,5.11,3710.96,107
56,NewYork,26-01-2020,58.18,101.47,37.17,26.23,63.95,23.3,1.74,7.97,,22.22,20.61,7.37,7604.96,128
57,LosAngeles,13-08-2019,21.79,63.98,2.7,9.29,11.89,9.63,0.7,25.46,6.11,6.31,0.73,1.33,19496.96,103
58,LosAngeles,26-06-2020,10.37,25.53,4.48,13.7,12.97,7.2,0.54,19.32,3.98,3.32,0.33,0.48,1626.96,32
59,Fresno,06-02-2020,,111.83,11.07,5.72,,6.2,0.47,24.36,35.69,,,,18259.96,111
60,Medellin,20-02-2019,13.01,52.24,25.59,9.8,23.77,36.25,0.64,4.87,11.82,,,0,16150.96,78
61,Mexico,11-08-2019,34.28,98.27,7.26,47.33,34.4,15.9,0.82,46.41,15.58,0.08,0.12,0.05,1385.96,95
62,LosAngeles,26-04-2019,42.02,143.21,8.36,45.56,25.47,5.24,1.09,43.53,8.64,10.9,5.35,4.95,15538.96,89
63,Edinburg,01-05-2015,68.12,,21.8,30.66,48.37,,1.73,25.73,7.72,0.82,0.35,0.15,12247.96,302
64,Sandiago,05-12-2020,45.81,,10.51,9.63,14.9,30.68,0.95,0.82,6.63,0.15,,0.04,18006.96,76
65,LosAngeles,13-08-2016,17.47,,15.58,8.74,19.01,,0.62,23.42,6.53,22.91,18.74,6.96,4706.96,67
66,Carlsbad,20-01-2020,35.98,57.91,2.34,24.14,26.06,12.05,0.77,30.26,6.87,0.9,,0.26,14142.96,70
67,Sandiago,27-05-2019,34.84,,10.99,24.78,26.46,23.95,0.95,24.72,7.32,17.11,,0.21,19988.96,73
68,Padrelascasas,29-01-2020,83.46,180.09,49.4,14.77,32.76,11.96,0.59,25.12,5.82,,,0.98,4798.96,186
69,Shreveport,12-02-2018,325.7,,95.21,71.14,127.82,,68.54,,50.88,23.37,2.04,1.15,15483.96,668
70,Modesto,25-06-2020,46.12,,12.86,46.33,14.41,47.99,0,10.85,,0,,0.1,19413.96,50
71,LosAngeles,24-01-2019,42.96,108.86,8.93,13.69,23.38,22.51,0.74,32.24,8.75,36.5,10.59,3.78,740.96,101
72,LosAngeles,06-09-2018,45.55,95.57,2.37,22.22,13.91,17.66,0.56,55.31,4.25,9.66,1.9,2.43,17380.96,110
73,Padrelascasas,17-02-2020,51.45,125.68,21.08,34.92,59.53,73.07,2.79,29.74,15.64,,,0,9829.96,126
74,Camden,22-12-2015,,,21.72,14.29,14.99,,1,10.99,11.39,,,,17655.96,112
75,Visalia,28-02-2019,72.8,104.12,14.24,53.54,56.21,,0.82,22.54,11.55,34.42,6.94,20.19,13360.96,139
76,Mexico,23-09-2016,30.31,83.21,2.62,17.88,15.34,11.13,0.86,36.27,12.54,1.3,0.11,0.48,3358.96,74
77,Medellin,05-11-2019,55.76,161.86,,,0,,3.05,,35.37,,,0,19968.96,124
78,Carlsbad,08-07-2018,10.9,,2.11,5.46,4.37,3.7,0.55,15.26,6.52,,,,18056.96,63
79,Chico,09-04-2018,47.39,,5.04,27.62,19.75,26,1.18,57.18,4.33,0.26,,0.12,7712.96,134
80,Medellin,22-09-2018,,,,,,,,,,0,0,0,13830.96,112
81,Medellin,16-04-2019,18.59,46,24.28,1.6,29.77,,1.75,18.27,91.15,0,,0,17760.96,77
82,Camden,08-09-2018,50.45,111.97,8.7,31.59,31.71,6.98,0.62,6.29,,,,,4251.96,120
83,Chico,20-01-2018,170.08,,11.44,17.24,16.66,43.9,1.24,27.79,4.72,0.99,,0.24,13152.96,399
84,Mexico,05-04-2020,23.14,72.79,2.93,11.74,12.15,23.69,0.38,37.27,6.25,0,,0.22,19767.96,66
85,Mexico,10-01-2018,18.41,44.77,4.85,19.97,14.64,18.65,0.76,17.06,23.7,0,0.1,0,5978.96,61
86,Sandiago,04-09-2015,48.91,,8.53,10.13,14.44,,1.28,36.5,9.01,3.26,,2.63,15286.96,116
87,LosAngeles,02-01-2018,32.83,67.13,8.85,38.24,10.77,40.89,0.13,66.89,6.95,0.72,0.32,0.01,3775.96,106
88,Bakersfield,26-07-2016,,,,,42.41,,0,,,0,0,0,14852.96,112
89,LosAngeles,11-01-2018,73.4,126.73,3.64,37.3,23.07,18.04,0.89,31.96,6.54,13.02,0.52,1.64,15566.96,179
90,Mexico,08-09-2019,67.3,93.52,5.96,11.1,8.29,7.67,,14.02,,2.07,,0,5640.96,116
91,Mexico,08-10-2018,18.33,62.38,15.17,29.22,23.63,11.95,0.1,6.57,11.79,1.8,0.16,0.1,19020.96,39
92,LosAngeles,01-04-2015,,,6.67,28.32,35.22,,0,32.89,7.16,0.24,0.02,0.01,291.96,112
93,Camden,22-06-2017,250.7,,,,,,1.18,26.52,,,,,8585.96,444
94,Mexico,06-03-2018,60.41,200.6,3.17,16.15,10.8,13.83,0,47.6,13.13,6.14,0.12,0.49,17362.96,127
95,NewYork,18-09-2017,31.59,66.84,9.06,18.99,,11.01,0,21.73,1.99,,,5.16,14863.96,121
96,Padrelascasas,25-04-2020,66.09,174.65,6.14,16.16,19.94,8.91,2.98,51.11,8.74,,,0,17095.96,129
97,Nevada,01-01-2020,117.73,212.19,32.08,15.66,47.89,49.01,0.82,20.59,16.85,,,0,2943.96,396
98,Mexico,03-09-2020,61.49,96.97,4.12,18.02,13.5,26.29,0.43,20.35,17.58,1.14,0.15,0.09,556.96,100
99,LosAngeles,04-12-2019,26.48,65.3,2.52,30.74,20.16,20.99,0.65,40.05,6.6,11.26,5.28,1.7,6423.96,135
100,Padrelascasas,14-09-2019,47.02,90.19,5.37,10.75,11.92,1.55,3.39,21.9,12.68,,,0,19052.96,69
101,Sandiago,26-02-2016,81.54,,4.05,13.36,14.55,134.55,2.73,46.57,12.5,4.17,,,8892.96,167
102,Coyhaique,27-07-2019,19.55,37.66,1.51,6.58,4.19,2.73,1.14,32.24,4.43,,,,12234.96,59
103,LosAngeles,10-05-2016,24.06,34.19,4.08,23.73,10.99,9.95,0.29,34.38,6.98,5.12,0.22,0.68,15659.96,57
104,California,26-07-2019,18.2,30.42,11.42,34.12,38.42,19.14,0.9,20.59,12.4,0.07,,0.03,17356.96,55
105,Visalia,13-11-2016,44.35,122.3,7.95,43.52,43.27,16.36,1.01,37.18,8.6,8.61,,8.34,8710.96,118
106,Camden,09-12-2019,71.76,133.94,6.1,33.17,19.26,,0.31,7.7,12.14,0,,0,1988.96,126
107,Carlsbad,03-10-2020,20.81,54.4,2.85,11.49,11.28,12.9,0.7,48.73,5.35,1.76,,0.36,2794.96,60
108,Mexico,04-06-2019,41.52,67.52,3.89,19.34,14.91,17.29,0.63,33.37,38.92,4.05,0.14,0.37,4603.96,101
109,Edinburg,31-05-2017,44.5,,179.3,2.6,62.48,,1.02,19.59,7.24,2.21,0.56,0.49,17135.96,81
110,Fresno,19-06-2019,,86.06,8.36,4.65,,,0.31,,27.05,,,,8754.96,99
111,Fresno,19-12-2019,,12.55,8.66,8.9,,1.48,,27.69,5.66,,,,16717.96,112
112,NewYork,16-07-2018,12.76,80.77,9.7,13.27,18.34,7.06,0.41,19.89,9.67,1.95,2,1.48,5619.96,76
113,Edinburg,08-04-2017,71.17,152.42,49.28,57.87,50.15,54.97,1.09,12.37,9.02,10.3,9.74,2.82,17127.96,104
114,Modesto,08-12-2019,23.77,32.92,10.87,23.98,27.01,6.16,0.67,11.01,11.36,22.7,0.07,3.28,16097.96,124
115,LosAngeles,27-01-2020,29.95,90.15,5.74,33.82,24.42,11.55,0.58,54.98,7.1,25.91,2.56,3.84,10121.96,83
116,Camden,30-10-2019,72.04,162.6,31.74,40.25,48.93,,0.73,49.5,7.49,6,,2.01,9823.96,160
117,LosAngeles,24-06-2015,38.82,,16.9,9.57,22.59,,0.87,15.3,5.93,0.9,0.14,0.13,6673.96,143
118,Logan,12-01-2019,23.5,65.63,19.07,30.57,34.7,34.38,0.63,14.74,13.67,7.12,2.25,3.64,9798.96,73
119,Coyhaique,26-11-2018,19.19,24.79,5.07,13.09,14.48,0.25,0.52,40.95,4.73,,,,5820.96,54
120,LosAngeles,22-05-2017,71.45,104.64,3.96,21.66,19.37,28.74,0.46,54.85,7.43,6.37,0.69,1.24,19658.96,106
121,Camden,29-09-2017,54.8,,4.8,5.23,,,1.66,43.94,9.67,4.15,,0.04,12304.96,90
122,Carlsbad,27-06-2017,26.19,60.92,6.21,14.15,17.62,4.45,0.72,33.93,9.47,1.32,,0.26,16213.96,79
123,Mexico,07-03-2018,44.5,120.24,7.25,15.98,13.55,6.19,1.03,11.78,9.09,1.02,0.39,0.19,13018.96,112
124,Modesto,23-01-2016,323.29,442.57,77.95,73.28,114.51,69.75,2.99,44.37,23.53,80.57,6.27,17.25,12610.96,455
125,Chico,21-08-2017,40.84,,2.19,9.5,,,2.9,31.2,2.4,,,,2815.96,176
126,Bakersfield,15-06-2018,16.68,75.12,24.71,11.91,38,,1.28,18.07,20.76,,,0.52,19750.96,77
127,Sandiago,29-07-2016,62.39,,7.09,12.51,13.84,28.96,0.74,25.42,5.55,0.01,,0.55,8223.96,157
128,Sandiago,12-05-2019,118.21,,5.44,21.09,11.64,30.14,1.05,35.56,5.4,0.24,,0,1078.96,118
129,Angol,27-08-2018,50.5,70.64,3.33,34.9,30.46,14.27,0.85,28.65,8.74,10.4,,2.45,2883.96,87
130,Shreveport,24-03-2019,74.87,218.24,1.93,12.24,8.2,,0.64,119.91,25.67,47.47,2.52,6.4,2193.96,198
131,Sandiago,19-12-2019,49.87,50.76,8.19,14.95,21.51,12.04,0.72,34.53,17.1,0,,2.51,9684.96,83
132,LosAngeles,29-08-2016,31.92,,17.89,12.69,28.08,,1.57,16.87,10,0.95,0.18,0.11,11814.96,201
133,Shreveport,28-09-2015,59.9,,12.75,5.66,13.47,,8.01,36.19,0.72,6.33,0.18,2.7,3335.96,319
134,Mexico,03-02-2018,100.04,88.75,2.62,21.65,11.42,6.74,0.75,44.54,12.55,3.35,0.15,0.41,15889.96,83
135,Logan,03-05-2019,40.72,201.06,9.04,24.94,22.79,5,0,23.52,,0,0,0,8857.96,80
136,Modesto,11-08-2015,96.32,372.62,24.33,54.86,75.13,42.79,1.27,80.06,16.5,20.08,0.99,2.94,18139.96,351
137,Fresno,07-10-2017,49.09,116.74,11.73,10.85,,,0,39.01,13.4,,,,14203.96,126
138,Mexico,27-02-2016,50.67,29.06,3.5,18.92,15.38,35.32,0.54,33.7,8.91,3.4,0.26,0.13,14649.96,162
139,Sanfransisco,01-02-2020,5.92,4.69,0.27,0.8,0.43,1.72,0.26,25.7,16.09,0.03,,0.02,13517.96,112
140,Edinburg,06-01-2017,44.02,,34.06,27.84,70.22,,1.27,9.44,2.69,3.27,0.87,0.31,168.96,230
141,Carlsbad,07-01-2019,28.27,76.68,2.92,14.8,12.14,1.68,0.46,13.42,4.1,0.13,,0,4545.96,87
142,Camden,05-04-2018,63.36,,11.35,25.98,20.07,,0.53,58.73,6.61,,,0.63,1756.96,132
143,Camden,06-11-2018,89.38,236.57,35.27,16.16,35.23,,1.51,29.64,5.01,3.72,,1.41,11331.96,256
144,Bakersfield,16-07-2015,,,,,26.33,,0,,,0,0,0,7450.96,112
145,Chico,20-07-2019,27.9,,23.51,54.55,34.33,40.44,1.06,23.28,8.45,3.1,,1.66,11560.96,72
146,NewYork,16-01-2020,24.01,53.25,7.69,8.62,16,10.41,0.53,38.11,6.75,1.93,2,1.45,14034.96,72
147,Edinburg,05-04-2016,221.35,,61.15,53.27,35.57,,1.29,14.49,48.43,7.83,6.36,1.01,7607.96,304
148,Visalia,18-10-2019,44.12,82.4,6.08,21.36,27.21,27.85,0.39,,4.69,17.2,1.5,3.29,14982.96,104
149,Carlsbad,15-08-2017,,98.99,3.89,15.13,10.14,35.17,0.94,44.7,2.9,,,,17215.96,202
150,Chico,04-05-2017,57.78,,13.8,63.5,4.22,,1.86,16.89,5.77,30.7,,49.13,19133.96,123
151,Chico,19-02-2019,206.17,,11.66,56.81,38.23,,1.26,33.4,8.14,0.46,,0.08,10206.96,246
152,Carlsbad,11-10-2019,50.58,79.04,20.02,36.5,55.87,16.34,1.26,13.68,4.4,3.16,,1.05,10545.96,85
153,Shreveport,20-05-2019,454.39,,21.95,58.17,63.51,,18.79,16.39,78.36,22.11,0.65,4.09,18354.96,825
154,Logan,23-02-2020,10.68,45.02,12.57,32.78,26.54,12.58,0.77,18.85,12.72,8.29,1.36,3.81,17812.96,67
155,LosAngeles,04-02-2017,31.73,,7.33,16.92,24.14,,0.76,43.09,7.93,3.48,0.76,0.27,679.96,76
156,LosAngeles,25-04-2020,12.61,42.39,8.77,17.49,12.55,13.72,0.24,31.51,5.75,3.54,0.44,0.49,12607.96,54
157,Angol,01-03-2020,64,171.82,33.86,45.61,56.43,21.53,1.51,31.31,10.39,12.42,,8.29,8182.96,143
158,Sandiago,20-07-2016,34.99,,9.08,12.78,14.09,,,34.75,5.4,0.09,,0.05,10623.96,106
159,Edinburg,03-08-2017,145.42,,30.06,23.74,83.02,,3.12,18.3,18.23,1.39,0.84,0.2,7542.96,395
160,Logan,28-09-2019,36.05,69.35,39.57,48.94,58.36,8.9,1.59,21.65,14.15,8.64,7.91,5.72,12870.96,83
161,Sandiago,18-07-2018,112.36,,11.46,16.2,24.87,25.29,0.96,20.12,10.42,4.4,,1.19,8485.96,214
162,Chico,26-04-2019,223.67,,40.97,41.37,67.22,6.93,1.07,16.13,9.46,0.47,,0.15,1880.96,394
163,Carlsbad,12-02-2019,33.13,65.69,6.81,8.1,14.44,9.82,1.72,26.56,5.28,1.46,,0.02,16533.96,101
164,Medellin,16-06-2020,,,,,,,,,,,,,4042.96,112
165,Bakersfield,17-01-2015,,,,,23.99,,0,,,0,0,0,8942.96,112
166,Edinburg,01-09-2019,133.2,,66,14.64,77.14,,1.1,36.33,12.94,0.69,0.28,0.14,8488.96,366
167,Fresno,28-05-2018,,90.92,10.77,11.3,,12.04,1.81,12.32,12.77,,,,7566.96,106
168,Bakersfield,20-07-2019,21.43,29.93,18.14,6.37,24.42,8.75,0.58,1.77,7.18,,,2.67,11707.96,46
169,Shreveport,18-06-2018,85.8,,50.15,219.86,105.76,,54.71,10.09,124.06,32.36,6.96,4.1,17646.96,460
170,Coyhaique,28-03-2019,53.26,81.69,1.39,20.06,12.76,9.89,2.09,28.45,4.18,,,,16073.96,99
171,Nevada,01-07-2020,175.42,294.2,46.13,9.75,76.8,26.25,0.82,25.36,21.76,,,0.42,8555.96,335
172,Logan,19-03-2019,49.62,107.43,3.09,22.54,12.5,16.54,0.6,33.86,11.07,17.33,3.73,3.8,18784.96,122
173,Chico,20-05-2016,48.32,,8.43,15.09,,,1.44,27.11,5.79,5.62,,1.94,3321.96,96
174,LosAngeles,13-06-2020,22.98,73.26,3.87,30.16,16.37,12.37,0.27,47.08,6.35,,,,5975.96,78
175,Bakersfield,14-05-2018,77.97,154.82,137.57,66.27,94.5,,1.16,26.11,14.98,,,2.63,10938.96,215
176,Carlsbad,21-05-2016,50.11,93.88,21.59,34.89,44.29,11.95,1.03,43.56,6.43,3.04,,0.49,7614.96,93
177,Edinburg,26-12-2018,322.08,,80.5,64.56,60.61,,1.81,,46.35,28.39,16.67,4.46,13945.96,660
178,Las_cruces,02-05-2019,50.7,126.26,14.8,69.35,49.95,211.28,1.33,9.3,22.12,,,,4992.96,104
179,Carlsbad,02-04-2020,61.45,101.23,21.42,43.23,29.97,,0.81,34.59,2.99,156.82,,19.9,14012.96,97
180,Coyhaique,12-08-2019,35.51,52.69,8.34,27.7,30.32,10.36,0.81,39.58,5.29,,,,5039.96,69
181,Medellin,21-10-2019,13.97,39.84,39.42,8.72,37.35,3.43,1.14,13.51,35,,,,19431.96,81
182,Carlsbad,01-02-2019,69.74,167.57,9.63,33.8,0,18.7,1.56,27.23,5.02,3.72,,1.49,17229.96,142
183,Dallas,17-06-2019,11.15,27.34,10.98,,5.55,,4.6,41.99,2.4,1.13,0.01,1.31,12973.96,100
184,Modesto,21-08-2019,8.77,43.16,10.21,38.4,15.86,0.24,1.55,13.16,28.72,1.74,0.05,0.26,8611.96,48
185,Carlsbad,09-11-2015,18.33,,4.13,11.27,9.71,27.84,18.81,30.09,3.79,30.66,,0.57,18955.96,40
186,Angol,24-09-2018,20.04,39.97,8.67,21.91,39.36,39.31,0.9,22.44,8.5,6.73,,0.8,18614.96,103
187,Angol,17-09-2016,37.18,94.34,5.73,28.91,25.87,23.21,0.53,58.3,17.04,34.51,,0.42,6737.96,95
188,Shreveport,07-04-2018,52.56,,5.28,48.4,33.13,,17.94,37.25,43.26,79.21,13.03,19.52,17154.96,360
189,Las_cruces,26-03-2019,70.83,144.63,8.55,36.36,24.92,13.05,0.5,22.06,13.13,,,,8392.96,119
190,Sandiago,12-10-2017,36.5,90.54,6.17,16.28,19.21,16.06,0.78,37.51,6.69,0.04,,0.09,13915.96,89
191,Medellin,04-07-2019,67.25,201.73,,,,,0,23.32,20.12,,,0,18695.96,160
192,Carlsbad,09-12-2017,10.38,39.38,2.13,8.64,5.59,2.14,0.86,37.49,4.94,0.97,,0.62,7915.96,47
193,Angol,03-08-2018,54.18,127.43,14.05,41.64,51.47,31.35,0.85,44.55,13.22,10.1,,2.95,7647.96,124
194,Sandiago,26-08-2018,54.31,,7.74,8.69,11.53,10.77,0.95,18.06,3.68,7.63,,0,14488.96,101
195,Angol,25-10-2018,57.34,143.73,15.69,64.2,70.45,16.51,0.87,28.07,6.88,15.09,,3.73,2632.96,123
196,Chico,24-06-2017,38.78,,9.01,24.68,,,2.63,16.9,9.52,1.48,,1.54,13220.96,80
197,LosAngeles,24-06-2020,10.71,22.52,3.1,12.94,7.23,11.75,0.17,12.08,3.86,0.34,0.05,0.01,17617.96,45
198,Carlsbad,04-02-2017,41.9,76.92,8.53,31.38,25.57,17.51,1.11,47.61,5.87,4.7,,1,16299.96,82
199,LosAngeles,20-05-2015,73.5,,10.3,23.24,29.22,,1.09,25.19,9.36,,,,9026.96,141
200,Camden,25-11-2019,29.83,139.7,18.39,22.94,30.66,,0.27,53.6,8.1,0,,0,4402.96,121
201,Sandiago,12-08-2019,82.59,137.13,9.09,16.31,16.63,16.01,0.97,48.73,6.81,1.35,,0,12199.96,166
202,Carlsbad,01-10-2020,39.44,91.04,15.43,25.4,53.28,,0.93,18.35,5.29,9.51,,0,1242.96,92
203,Redding,24-04-2017,12.9,31.71,2.5,9.09,6.64,19.48,0.71,3.71,13.6,0.24,8.29,12.18,12794.96,92
204,Bakersfield,07-12-2015,,,,,28.48,,0,,,0,0,0,3982.96,112
205,Camden,24-01-2016,308.45,,5.74,8.9,,,1.74,10.04,3.75,0,,0,2842.96,482
206,Angol,03-02-2018,84.28,185.42,23.2,24.48,28.03,23.78,0.81,33.75,12.99,10.82,,1.33,1142.96,201
207,Camden,23-03-2017,91.39,,7.06,11.84,,,0.52,10.16,4.73,4.19,,0.03,15573.96,235
208,Modesto,02-07-2019,138.42,181.64,28.67,58,53.47,34.97,0.92,23.32,19.94,10.26,,3.73,6212.96,264
209,LosAngeles,01-06-2019,111.95,262.51,53.9,53.12,111.06,21.21,1.43,13.84,10.8,12.8,,0.92,18852.96,308
210,Chico,17-02-2015,,,6.99,14.25,5.23,,13.04,25.53,,5.01,,3.06,14956.96,112
211,Shreveport,27-07-2018,39.98,,28.09,37.82,56.39,,11.41,,39.23,64.11,1.45,4.14,9688.96,421
212,Fresno,14-12-2018,,89.12,8.49,9.55,,6.85,0.02,6.2,1.05,,,,15608.96,177
213,Angol,26-12-2018,65.85,147.38,10.36,23.25,26.94,17.76,0.62,55.45,14.85,6.77,,0.48,2468.96,135
214,Modesto,22-09-2015,155.16,306.24,65.7,42.58,76.45,28.2,8.17,37.22,25.1,15.51,,7.42,19818.96,377
215,LosAngeles,23-01-2020,39.94,110.65,8.78,44.5,13.44,23.78,0.43,55.77,15.98,3.26,0.19,0.33,146.96,124
216,Shreveport,04-12-2018,24.36,,23.2,140.7,80.92,,45.91,,99.74,32.59,6.67,29.17,14614.96,460
217,Fresno,12-04-2018,,,8.65,7.85,,59.26,,18.72,32.03,,,,6391.96,342
218,LosAngeles,21-12-2017,60.98,112.92,2.78,14.98,4.75,1.9,0.29,25.2,3.9,3.04,1.8,0.1,1623.96,136
219,Chico,08-06-2017,46.28,,13.78,34.9,,,0.41,43.46,2.51,0,,0,12836.96,88
220,LosAngeles,04-12-2015,83.39,,28.5,24.01,51.41,,0.73,15.18,8.17,1.84,0.23,0.23,13480.96,135
221,Sandiago,17-08-2017,57.45,,6.74,28.53,15.87,,0.11,37.55,9.61,0.03,,0.04,8383.96,114
222,Carlsbad,01-05-2020,83.94,161.56,11.07,43.48,0,17.21,1.11,19.59,4.28,0.65,,0.89,5125.96,153
223,Padrelascasas,18-01-2020,26.92,108.86,7.46,10,15.84,17.94,1.01,30.17,0.83,,,67.32,11606.96,115
