City,Date,WP1,WP2,N1,N2,N3,N4,Carbon,Ozone,Sulpher,OC1,IN1,OC2,IN2,SI
Amaravati,28/09/2019,18.15,34.91,4.12,10.32,11.3,4.72,0.47,5.96,8.5,,,,120.96,56
Amritsar,18/11/2018,56.67,140.56,11.86,23.1,41,10.51,0,18.92,,2.12,13.6,13.14,121.96,128
Delhi,03/06/2018,43.91,110.66,9.4,20.59,18.23,41.18,0.79,22.79,11.02,1.46,,1.52,122.96,175
Patna,16/03/2019,223.52,,79.39,72.54,101.29,,1.36,38.52,2.33,0.72,0.69,0.16,123.96,339
Chennai,26/03/2020,31.5,,6.48,10.06,15.28,27.71,0.7,25.98,15.47,2.19,,0,124.96,73
Coimbatore,05/10/2019,15.22,43.51,5.91,8.65,17.59,1.6,1.34,32.91,8.43,,,0,125.96,88
Lucknow,26/02/2019,55.56,,8.43,24.53,20.55,64.91,1.22,21.53,5.02,0.28,,0.11,126.96,113
Delhi,28/09/2019,84.01,230.42,8.71,44.5,34.27,13.93,0.99,25.38,10.44,22.13,1.55,2.82,127.96,240
Bhopal,06/08/2019,28.28,73.26,4.94,16.53,14.87,30.26,0.77,18.56,12.89,,,,128.96,86
Hyderabad,28/10/2017,63.29,171.98,4.89,46.77,29.5,15.91,0.98,57.11,17.9,22.92,4.02,3.96,129.96,153
Thiruvananthapuram,13/03/2020,11.17,24.79,2.19,9.73,6.98,10.82,1.08,37.85,4.93,,,,130.96,44
Jaipur,02/06/2020,39.44,91.38,6.33,18.08,19.84,16.42,0.63,40.5,8.77,1.82,,0.93,131.96,100
Chennai,08/08/2018,99.14,,12.05,16.87,21.3,6.62,0.64,11.01,21.02,0.17,,0.09,132.96,77
Mumbai,05/10/2019,24.3,61.21,23.21,7.1,30.51,6.38,0.35,15.59,5.7,,,1.29,133.96,71
Amaravati,16/12/2019,64.9,80.8,0.35,21.89,16.24,18.83,0.38,34.59,10,0.04,,0,134.96,95
Ahmedabad,22/04/2018,72.55,,3.29,37.39,17.61,26.9,4.19,,100.33,35.08,5.62,8.86,135.96,202
Bhopal,13/03/2017,30.63,70.69,18.56,47.27,44.72,11.45,1.29,41.83,10.73,,,,136.96,73
Shillong,11/09/2019,29.98,35.36,0.7,1.28,0.66,3.45,0.21,9,5.45,1.04,,0.3,137.96,71
Ahmedabad,04/08/2015,44.9,,8.98,10.07,15,,12.5,3.13,14.3,1.02,0.01,1.26,138.96,120
Coimbatore,18/04/2019,14.6,44.56,0.54,59.73,74.26,2.82,0.87,25.28,7.04,0,,0,139.96,67
Lucknow,03/02/2017,93.68,,25.8,80.63,,,3.09,13.57,12.15,7.39,,3.17,140.96,308
Visakhapatnam,04/03/2019,80.17,181.65,3.39,45.34,36.54,37.64,1.18,34.88,17.7,15.28,3.88,7.58,141.96,198
Amritsar,18/10/2019,24.07,77.45,13.36,62,30.33,9.81,0.82,12.33,10.99,1.04,10.84,5.91,142.96,91
Chandigarh,10/09/2019,14.58,48.23,2.12,4.37,0.83,1.25,0.11,19.54,15.81,1.75,1.02,5.8,143.96,55
Bengaluru,28/06/2017,32.83,,5.28,16.98,5.25,22.49,0.78,16.36,1.7,3.43,,1.07,144.96,66
Ernakulam,07/07/2018,29.82,28.35,1.7,3.02,3.2,7.1,1.24,6.44,3.58,1.36,0.04,2.28,145.96,37
Hyderabad,23/01/2020,39.94,110.65,8.78,44.5,13.44,23.78,0.43,55.77,15.98,3.26,0.19,0.33,146.96,124
Hyderabad,07/01/2019,74.38,114.53,8.78,38.84,24.56,49.34,0.73,29.24,12.15,17.74,6.53,1.63,147.96,120
Hyderabad,19/01/2019,25.38,47.31,7.43,53.85,2.32,62.07,0.23,,7.41,6.24,1.09,1.08,148.96,57
Patna,11/05/2018,110.06,,8.69,25.59,8.07,,0.92,49.47,38.02,26.84,9.9,1.77,149.96,263
Jorapokhar,29/06/2017,,124.42,7.6,7.01,,4.64,0.45,24.06,28.47,,,,150.96,122
Patna,08/12/2017,51.07,,6.84,9.5,13.69,,1.13,23.66,6.28,0.18,0,0,151.96,174
Jaipur,01/11/2019,73.44,144.17,35.39,52.7,49.92,25.52,0,26.82,11.8,6.97,,4.03,152.96,202
Jorapokhar,21/08/2019,,47.42,6.91,7.5,,12.26,0.3,14.58,29.85,,,,153.96,73
Lucknow,23/02/2016,48.3,,21.1,61.7,60.29,10.36,0.45,37.42,13.38,0,,0,154.96,216
Visakhapatnam,11/05/2018,,,2.72,25.28,15.42,8.1,0.11,,6.24,3.92,0.22,0.62,155.96,
Mumbai,05/03/2020,13.3,25.76,32.25,11.66,80.25,14.04,0.42,19.33,15,,,2.66,156.96,44
Talcher,30/03/2019,35.59,163.8,35.19,5.34,31.71,,1.17,51.65,10.3,,,,157.96,145
Kolkata,24/02/2017,275.58,363.45,177.94,101.39,182.43,32.88,1.32,41.89,15.09,19.99,,19.43,158.96,375
Kolkata,09/12/2017,247.32,358.07,88.53,121.27,223.94,37.42,1.58,33.09,14.78,18.69,,7.95,159.96,397
Chandigarh,01/03/2017,19.07,69.27,2.75,7.83,5.98,2.72,0.29,16.21,6.63,0.54,0.86,3.03,160.96,79
Chandigarh,09/01/2020,43.32,80.11,1.75,11.26,7.25,1.3,0.42,33.17,17.19,0.94,0.76,2.94,161.96,87
Visakhapatnam,18/11/2018,50.21,152.51,3.02,24.61,16.89,6.55,0.81,22.76,6.48,7.19,1.15,3.17,162.96,110
Chennai,15/10/2015,31.1,,9.5,13.85,17.52,28.4,0.39,22.45,6.12,3.45,,0,163.96,116
Talcher,10/06/2018,169.31,214.23,30.83,8.21,35.82,6.96,1.17,12.8,35.25,,,,164.96,291
Bhopal,26/04/2019,76.72,123.45,7.27,52.41,37.8,30.91,0.8,51.62,12.93,,,,165.96,143
Lucknow,16/01/2017,91.68,,11.8,30.55,,,2.39,26.99,6.78,7.77,,1.83,166.96,202
Gurugram,03/12/2015,294.32,,18.31,23.55,12.67,,1.17,8.76,1.84,,,0.1,167.96,471
Patna,01/06/2017,44.02,,34.06,27.84,70.22,,1.27,9.44,2.69,3.27,0.87,0.31,168.96,230
Bengaluru,18/06/2020,16.59,28.64,1.39,0.07,0.12,14.5,0.83,22.52,0.89,0.94,,1.32,169.96,39
Gurugram,24/08/2017,23.53,,2.04,32.74,,,0.97,33.5,9.23,21.43,,2.79,170.96,99
Chennai,15/06/2020,32.52,,6.28,12.9,18.57,18.56,0.88,46.82,6.17,0.2,,0.01,171.96,104
Patna,09/04/2019,96.95,,15.62,18.57,18.04,,3.8,26.89,20.25,17.2,14.59,2.43,172.96,313
Chennai,23/02/2019,25.38,40.53,5.58,12.28,19.12,19.28,0.95,19.54,5.24,0,,0.06,173.96,49
Chennai,29/06/2016,35.59,,6.81,13.33,13.65,,0.71,11.99,4.7,0.86,,0,174.96,70
Talcher,20/07/2018,13.25,24.87,21.89,10.49,22.94,6.98,0.51,18.59,9.22,,,0,175.96,103
Talcher,31/12/2019,71.44,269.13,11.17,12.24,25.22,2.14,0.58,18.2,17.41,,,0,176.96,270
Amaravati,17/06/2017,13.62,58.22,2.75,9.4,8.02,67.51,0.48,33.44,4.53,0.14,,0,177.96,117
Lucknow,23/05/2015,33.51,,2.16,16.07,6.24,,3.94,45.17,9.43,0.15,,0.1,178.96,130
Chennai,25/06/2019,38.33,67.27,9.54,9.42,22.28,25.08,0.73,19.51,4.97,0,,0.28,179.96,102
Chennai,13/06/2018,33.76,,13.51,22.29,20.48,42.62,0.7,13.92,10.71,1.36,,0.73,180.96,61
Ahmedabad,19/04/2015,65.49,,26.94,24.85,37.18,,19.65,21.16,9.19,18.65,16.75,4.74,181.96,230
Delhi,04/11/2019,107.37,188.93,40.37,63.29,71.38,12.05,1.64,30.99,19.86,26.56,0.84,6.18,182.96,241
Ahmedabad,14/04/2019,49.69,83.67,8.14,29.27,22.37,,4.88,24.33,39.95,31.08,7.06,6.08,183.96,210
Amaravati,06/05/2019,52.39,141.57,3.18,16.31,13.35,23.43,1.13,47.14,13.05,0.17,0.1,0.09,184.96,125
Hyderabad,26/03/2019,61.54,138.07,3.43,39.61,22.56,24.85,0.67,38.13,3.62,13.69,12.15,1.47,185.96,133
Lucknow,02/05/2016,88.98,,11.66,42.41,4.22,,2.25,28.2,6.72,5.02,,2.45,186.96,302
Bengaluru,14/05/2017,21.91,65.15,10.38,26.2,0,26.15,0.52,20.88,4.54,0.83,,0.92,187.96,80
Thiruvananthapuram,19/12/2015,66.45,103.16,11.32,17.89,21.32,9.56,1.08,24.96,8.35,,,,188.96,122
Bengaluru,12/03/2017,36.14,120.34,12.24,24.69,24.46,11.62,0.95,19.19,5.83,6.4,,2.39,189.96,84
Thiruvananthapuram,09/03/2018,32.56,37.3,2.96,9.28,5.3,3.92,0.73,38.5,3.71,,,,190.96,53
Bengaluru,06/05/2017,41.93,65.96,12.42,37.54,0,70.75,0.67,26.4,7.22,2.45,,0.39,191.96,66
Bengaluru,17/04/2017,39.09,72.78,11.58,62.39,0,27.54,0.84,33.92,8.44,1.6,,2.19,192.96,90
Visakhapatnam,14/09/2019,51.95,101.5,23.09,25.13,33.58,13.25,0.78,17.07,46.83,17.21,4.01,5.3,193.96,98
Amaravati,18/12/2018,22.94,61.43,2.02,23.42,16.45,15.78,0.79,27.17,15.52,1.95,0.16,0.22,194.96,71
Visakhapatnam,01/01/2020,41.4,97.18,10.19,37.11,32.92,21.1,0.7,19.25,7.06,7.69,5.21,5.99,195.96,96
Lucknow,30/04/2020,35.47,,6.44,28.02,23.49,0.93,1.83,24.39,6.6,7.22,,3.16,196.96,88
Amritsar,29/03/2019,14.63,55.79,7.74,9.86,21.28,6.59,0.55,20.73,7.88,3.83,6.34,2.54,197.96,67
Lucknow,03/01/2020,304.37,,37.67,55.34,79.28,33.93,1.77,21.32,9.87,7.73,,2.99,198.96,384
Gurugram,15/05/2020,24.03,69.12,2.44,14.59,9.29,11.26,0.63,0.8,3.22,6.01,,1.97,199.96,100
Visakhapatnam,18/05/2020,18.6,46.22,17.57,32.94,38.93,9.29,1.06,36.45,7.06,9.31,2.45,3.83,200.96,61
Delhi,14/12/2018,251.82,355.25,71.91,38.36,78.47,29.21,1.48,23.04,12.99,34.11,0.56,5.68,201.96,370
Chandigarh,08/05/2017,25.75,58.24,0.89,8.69,6.46,0.94,0.41,17.59,8.58,0.87,1.14,2.75,202.96,59
Delhi,16/02/2016,138.19,234.74,38.19,29.04,51.58,37.62,1.22,54.02,17.19,35.48,1.28,4.24,203.96,330
Amaravati,29/04/2020,23.75,67.95,4.31,8.49,7.47,7.01,0.54,31.49,11.16,3.65,0.34,0.91,204.96,80
Mumbai,03/06/2018,,,,,55.15,11.62,0,,,0,0,0,205.96,
Patna,05/06/2017,,,,,,,0,,,0,0,0,206.96,
Mumbai,20/11/2017,,,,,32.89,,0,,,0,0,0,207.96,
Mumbai,10/04/2016,,,,,25.77,,0,,,0,0,0,208.96,
Mumbai,20/02/2016,,,,,29.77,,0,,,0,0,0,209.96,
Chennai,23/02/2015,,,1.41,7.39,5.86,,0.59,20.69,9.59,0,,0.36,210.96,
Ahmedabad,04/03/2015,,,9.87,48.44,46.3,,8.79,21.28,55.07,32.35,7.08,4.08,211.96,
Mumbai,29/09/2018,36.54,,,,28.63,,2.09,41.26,13.17,,,0.27,212.96,90
Patna,25/04/2017,,,,,,,,,,,,,213.96,
Gurugram,07/12/2019,74.56,139.53,11.42,82.37,82.8,,1.47,25.7,14.37,,,,214.96,129
Jorapokhar,02/12/2019,93.51,239.05,7.74,10.66,,10.91,,13.07,75.78,,,,215.96,217
Patna,28/09/2019,22.1,,18.1,77.19,46.39,,0.91,38.85,26.93,92.19,34.3,2.78,216.96,102
Amaravati,05/03/2020,23.37,55.29,2.88,4.34,2.11,10.36,0.51,24.31,10.4,,,,217.96,41
Shillong,28/03/2020,10.6,20.17,0.96,2.74,1.24,3.42,0.19,21.6,5.66,0,,0,218.96,37
Jaipur,05/06/2017,37.04,130.84,14.27,28.39,,85.32,0.51,18.39,5.61,0.67,,0,219.96,108
Talcher,05/03/2018,90.86,146.05,26.41,12.27,24.24,14.66,2.87,8.26,35,,,0,220.96,181
Chennai,01/08/2017,18.68,,5.9,13.03,12.84,,0.02,12.16,5.96,0.08,,0.09,221.96,73
Patna,27/07/2015,,,31.36,31.39,56.74,,2.93,9.9,4.4,1.26,1.4,0.36,222.96,
Jorapokhar,09/01/2020,118.04,376.82,2.35,9.47,,,0.39,6.5,140.01,,,,223.96,375
Mumbai,22/05/2019,12.89,57.17,58.31,32.58,69.35,,2.09,69.4,25.18,,,0.71,224.96,99
Bengaluru,09/10/2018,72.8,94,3.04,16.57,11.96,21.97,0.88,37.96,4.46,2,,0.68,225.96,102
Delhi,28/11/2019,88.78,267.98,30.16,52.25,25.81,,0.41,47.54,33.07,8.95,,3.18,226.96,255
Bengaluru,20/08/2015,22.94,,2.79,17.81,9.17,26.31,1.57,25.7,3.08,1.06,,,227.96,67
Jorapokhar,03/08/2018,111.96,193.37,9.49,9.38,,7.03,1.35,27.02,25.07,,,,228.96,270
Bengaluru,02/06/2019,62.99,123.84,8.43,31.29,39.59,13.85,0.91,19.9,7.96,2.77,,0.5,229.96,110
Jaipur,02/02/2017,35.72,119.16,8.93,42.38,34.22,17.06,0.86,43.56,10.85,4.34,,0.87,230.96,131
Guwahati,15/05/2018,77.59,167.03,4.77,7.32,11.58,13.54,0.83,40.35,15.29,,,2.99,231.96,136
Talcher,14/03/2018,,,,,,8.71,,47.52,,,,,232.96,
Bengaluru,04/04/2016,54.41,42.4,6.57,31.96,30.88,32.03,1.11,53.14,5.94,1.41,,1.15,233.96,108
Hyderabad,06/10/2018,38.42,67.09,4.92,19.98,7.76,15.77,0.1,18.5,8.21,,0.1,1.6,234.96,82
