City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Amritsar,2020-03-11,48.64,102.02,12.88,9.44,22.15,8.84,0.64,5.78,0.54,1.3,1.1,8.81,131.0,Moderate
Hyderabad,2020-04-09,19.54,60.69,4.24,17.41,12.75,33.56,0.5,5.5,43.29,0.97,3.4,0.05,54.0,Satisfactory
Visakhapatnam,2019-09-23,11.39,30.53,9.6,42.2,26.08,37.62,0.8,20.76,12.64,4.43,11.22,1.27,74.0,Satisfactory
Hyderabad,2019-09-13,43.05,88.36,5.31,44.81,19.02,12.68,0.71,4.16,12.38,1.07,4.53,1.95,106.0,Moderate
Thiruvananthapuram,2018-06-02,53.42,76.37,5.57,5.2,6.99,,1.17,7.65,16.49,,,,82.0,Satisfactory
Hyderabad,2017-09-07,16.68,39.08,18.29,17.59,6.2,14.04,0.12,5.36,36.2,1.11,15.91,1.38,60.0,Satisfactory
Chennai,2017-06-12,45.06,,5.54,11.62,7.07,,0.0,3.67,7.74,0.04,0.09,,79.0,Satisfactory
Chennai,2018-01-14,78.57,,11.65,22.17,23.9,6.65,0.75,6.24,20.89,0.09,0.07,,155.0,Moderate
Patna,2017-02-11,135.45,,18.48,31.18,40.51,,0.95,10.82,30.68,0.12,0.58,0.12,356.0,Very Poor
Amritsar,2019-04-21,47.7,80.28,11.41,6.65,18.52,6.99,0.87,4.49,12.33,11.97,7.71,7.07,,
Bengaluru,2016-07-26,54.75,201.83,4.33,46.47,23.6,31.3,0.9,4.55,48.14,0.0,0.15,,143.0,Moderate
Jaipur,2020-04-11,48.06,113.72,5.12,17.65,16.32,37.23,0.52,9.0,41.9,0.18,24.32,,119.0,Moderate
Hyderabad,2015-04-09,46.91,,5.23,12.75,17.12,,0.66,4.5,21.17,0.52,1.43,0.13,157.0,Moderate
Chennai,2020-05-21,77.43,,4.83,9.27,15.04,32.75,0.85,14.26,42.37,0.06,0.7,,150.0,Moderate
Mumbai,2018-01-12,56.88,232.79,70.34,59.51,101.91,,3.13,11.98,40.02,7.43,,,171.0,Moderate
Amritsar,2019-11-26,70.06,114.51,14.98,14.27,20.79,16.21,1.66,16.63,40.56,4.88,7.29,4.08,120.0,Moderate
Ahmedabad,2020-05-24,24.86,90.66,3.45,15.76,9.64,,0.72,,7.56,7.67,16.88,1.74,95.0,Satisfactory
Hyderabad,2019-10-14,27.98,52.82,5.31,27.82,18.56,7.81,0.43,4.15,17.22,0.1,0.54,0.09,53.0,Satisfactory
Delhi,2018-11-17,92.19,247.11,336.0,98.12,195.94,,2.71,20.24,38.16,6.14,61.15,1.35,300.0,Poor
Gurugram,2017-01-09,241.9,,8.42,13.47,,,0.76,14.96,3.19,0.03,3.89,,387.0,Very Poor
Patna,2016-02-04,230.22,,20.01,36.61,87.04,,1.57,5.12,17.33,0.42,1.43,0.9,326.0,Very Poor
Amaravati,2020-04-13,13.36,76.5,2.95,18.84,8.54,16.34,0.8,12.27,77.45,0.12,0.12,0.1,114.0,Moderate
Amaravati,2019-09-28,18.15,34.91,4.12,10.32,11.3,4.72,0.47,8.5,5.96,,,,56.0,Satisfactory
Amritsar,2018-11-18,56.67,140.56,11.86,23.1,41.0,10.51,0.0,,18.92,13.14,2.12,13.6,128.0,Moderate
Delhi,2018-06-03,43.91,110.66,9.4,20.59,18.23,41.18,0.79,11.02,22.79,1.52,1.46,,175.0,Moderate
Patna,2019-03-16,223.52,,79.39,72.54,101.29,,1.36,2.33,38.52,0.16,0.72,0.69,339.0,Very Poor
Chennai,2020-03-26,31.5,,6.48,10.06,15.28,27.71,0.7,15.47,25.98,0.0,2.19,,73.0,Satisfactory
Coimbatore,2019-10-05,15.22,43.51,5.91,8.65,17.59,1.6,1.34,8.43,32.91,0.0,,,88.0,Satisfactory
Lucknow,2019-02-26,55.56,,8.43,24.53,20.55,64.91,1.22,5.02,21.53,0.11,0.28,,113.0,Moderate
Delhi,2019-09-28,84.01,230.42,8.71,44.5,34.27,13.93,0.99,10.44,25.38,2.82,22.13,1.55,240.0,Poor
Bhopal,2019-08-06,28.28,73.26,4.94,16.53,14.87,30.26,0.77,12.89,18.56,,,,86.0,Satisfactory
Hyderabad,2017-10-28,63.29,171.98,4.89,46.77,29.5,15.91,0.98,17.9,57.11,3.96,22.92,4.02,153.0,Moderate
Thiruvananthapuram,2020-03-13,11.17,24.79,2.19,9.73,6.98,10.82,1.08,4.93,37.85,,,,44.0,Good
Jaipur,2020-06-02,39.44,91.38,6.33,18.08,19.84,16.42,0.63,8.77,40.5,0.93,1.82,,100.0,Satisfactory
Chennai,2018-08-08,99.14,,12.05,16.87,21.3,6.62,0.64,21.02,11.01,0.09,0.17,,77.0,Satisfactory
Mumbai,2019-10-05,24.3,61.21,23.21,7.1,30.51,6.38,0.35,5.7,15.59,1.29,,,71.0,Satisfactory
Amaravati,2019-12-16,64.9,80.8,0.35,21.89,16.24,18.83,0.38,10.0,34.59,0.0,0.04,,95.0,Satisfactory
Ahmedabad,2018-04-22,72.55,,3.29,37.39,17.61,26.9,4.19,100.33,,8.86,35.08,5.62,202.0,Poor
Bhopal,2017-03-13,30.63,70.69,18.56,47.27,44.72,11.45,1.29,10.73,41.83,,,,73.0,Satisfactory
Shillong,2019-09-11,29.98,35.36,0.7,1.28,0.66,3.45,0.21,5.45,9.0,0.3,1.04,,71.0,Satisfactory
Ahmedabad,2015-08-04,44.9,,8.98,10.07,15.0,,12.5,14.3,3.13,1.26,1.02,0.01,120.0,Severe
Coimbatore,2019-04-18,14.6,44.56,0.54,59.73,74.26,2.82,0.87,7.04,25.28,0.0,0.0,,67.0,Satisfactory
Lucknow,2017-02-03,93.68,,25.8,80.63,,,3.09,12.15,13.57,3.17,7.39,,308.0,Very Poor
Visakhapatnam,2019-03-04,80.17,181.65,3.39,45.34,36.54,37.64,1.18,17.7,34.88,7.58,15.28,3.88,198.0,Moderate
Amritsar,2019-10-18,24.07,77.45,13.36,62.0,30.33,9.81,0.82,10.99,12.33,5.91,1.04,10.84,91.0,Satisfactory
Chandigarh,2019-09-10,14.58,48.23,2.12,4.37,0.83,1.25,0.11,15.81,19.54,5.8,1.75,1.02,55.0,Satisfactory
Bengaluru,2017-06-28,32.83,,5.28,16.98,5.25,22.49,0.78,1.7,16.36,1.07,3.43,,66.0,Satisfactory
Ernakulam,2018-07-07,29.82,28.35,1.7,3.02,3.2,7.1,1.24,3.58,6.44,2.28,1.36,0.04,37.0,Good
Hyderabad,2020-01-23,39.94,110.65,8.78,44.5,13.44,23.78,0.43,15.98,55.77,0.33,3.26,0.19,124.0,Moderate
Hyderabad,2019-01-07,74.38,114.53,8.78,38.84,24.56,49.34,0.73,12.15,29.24,1.63,17.74,6.53,120.0,Moderate
Hyderabad,2019-01-19,25.38,47.31,7.43,53.85,2.32,62.07,0.23,7.41,,1.08,6.24,1.09,57.0,Satisfactory
Patna,2018-05-11,110.06,,8.69,25.59,8.07,,0.92,38.02,49.47,1.77,26.84,9.9,263.0,Poor
Jorapokhar,2017-06-29,,124.42,7.6,7.01,,4.64,0.45,28.47,24.06,,,,122.0,Moderate
Patna,2017-12-08,51.07,,6.84,9.5,13.69,,1.13,6.28,23.66,0.0,0.18,0.0,174.0,Moderate
Jaipur,2019-11-01,73.44,144.17,35.39,52.7,49.92,25.52,0.0,11.8,26.82,4.03,6.97,,202.0,Poor
Jorapokhar,2019-08-21,,47.42,6.91,7.5,,12.26,0.3,29.85,14.58,,,,73.0,Satisfactory
Lucknow,2016-02-23,48.3,,21.1,61.7,60.29,10.36,0.45,13.38,37.42,0.0,0.0,,216.0,Poor
Visakhapatnam,2018-05-11,,,2.72,25.28,15.42,8.1,0.11,6.24,,0.62,3.92,0.22,,
Mumbai,2020-03-05,13.3,25.76,32.25,11.66,80.25,14.04,0.42,15.0,19.33,2.66,,,44.0,Good
Talcher,2019-03-30,35.59,163.8,35.19,5.34,31.71,,1.17,10.3,51.65,,,,145.0,Moderate
Kolkata,2017-02-24,275.58,363.45,177.94,101.39,182.43,32.88,1.32,15.09,41.89,19.43,19.99,,375.0,Very Poor
Kolkata,2017-12-09,247.32,358.07,88.53,121.27,223.94,37.42,1.58,14.78,33.09,7.95,18.69,,397.0,Very Poor
Chandigarh,2017-03-01,19.07,69.27,2.75,7.83,5.98,2.72,0.29,6.63,16.21,3.03,0.54,0.86,79.0,Satisfactory
Chandigarh,2020-01-09,43.32,80.11,1.75,11.26,7.25,1.3,0.42,17.19,33.17,2.94,0.94,0.76,87.0,Satisfactory
Visakhapatnam,2018-11-18,50.21,152.51,3.02,24.61,16.89,6.55,0.81,6.48,22.76,3.17,7.19,1.15,110.0,Moderate
Chennai,2015-10-15,31.1,,9.5,13.85,17.52,28.4,0.39,6.12,22.45,0.0,3.45,,116.0,Moderate
Talcher,2018-06-10,169.31,214.23,30.83,8.21,35.82,6.96,1.17,35.25,12.8,,,,291.0,Poor
Bhopal,2019-04-26,76.72,123.45,7.27,52.41,37.8,30.91,0.8,12.93,51.62,,,,143.0,Moderate
Lucknow,2017-01-16,91.68,,11.8,30.55,,,2.39,6.78,26.99,1.83,7.77,,202.0,Poor
Gurugram,2015-12-03,294.32,,18.31,23.55,12.67,,1.17,1.84,8.76,0.1,,,471.0,Severe
Patna,2017-06-01,44.02,,34.06,27.84,70.22,,1.27,2.69,9.44,0.31,3.27,0.87,230.0,Poor
Bengaluru,2020-06-18,16.59,28.64,1.39,0.07,0.12,14.5,0.83,0.89,22.52,1.32,0.94,,39.0,Good
Gurugram,2017-08-24,23.53,,2.04,32.74,,,0.97,9.23,33.5,2.79,21.43,,99.0,Satisfactory
Chennai,2020-06-15,32.52,,6.28,12.9,18.57,18.56,0.88,6.17,46.82,0.01,0.2,,104.0,Moderate
Patna,2019-04-09,96.95,,15.62,18.57,18.04,,3.8,20.25,26.89,2.43,17.2,14.59,313.0,Very Poor
Chennai,2019-02-23,25.38,40.53,5.58,12.28,19.12,19.28,0.95,5.24,19.54,0.06,0.0,,49.0,Good
Chennai,2016-06-29,35.59,,6.81,13.33,13.65,,0.71,4.7,11.99,0.0,0.86,,70.0,Satisfactory
Talcher,2018-07-20,13.25,24.87,21.89,10.49,22.94,6.98,0.51,9.22,18.59,0.0,,,103.0,Moderate
Talcher,2019-12-31,71.44,269.13,11.17,12.24,25.22,2.14,0.58,17.41,18.2,0.0,,,270.0,Poor
Amaravati,2017-06-17,13.62,58.22,2.75,9.4,8.02,67.51,0.48,4.53,33.44,0.0,0.14,,117.0,Moderate
Lucknow,2015-05-23,33.51,,2.16,16.07,6.24,,3.94,9.43,45.17,0.1,0.15,,130.0,Moderate
Chennai,2019-06-25,38.33,67.27,9.54,9.42,22.28,25.08,0.73,4.97,19.51,0.28,0.0,,102.0,Moderate
Chennai,2018-06-13,33.76,,13.51,22.29,20.48,42.62,0.7,10.71,13.92,0.73,1.36,,61.0,Satisfactory
Ahmedabad,2015-04-19,65.49,,26.94,24.85,37.18,,19.65,9.19,21.16,4.74,18.65,16.75,230.0,Poor
Delhi,2019-11-04,107.37,188.93,40.37,63.29,71.38,12.05,1.64,19.86,30.99,6.18,26.56,0.84,241.0,Poor
Ahmedabad,2019-04-14,49.69,83.67,8.14,29.27,22.37,,4.88,39.95,24.33,6.08,31.08,7.06,210.0,Poor
Amaravati,2019-05-06,52.39,141.57,3.18,16.31,13.35,23.43,1.13,13.05,47.14,0.09,0.17,0.1,125.0,Moderate
Hyderabad,2019-03-26,61.54,138.07,3.43,39.61,22.56,24.85,0.67,3.62,38.13,1.47,13.69,12.15,133.0,Moderate
Lucknow,2016-05-02,88.98,,11.66,42.41,4.22,,2.25,6.72,28.2,2.45,5.02,,302.0,Very Poor
Bengaluru,2017-05-14,21.91,65.15,10.38,26.2,0.0,26.15,0.52,4.54,20.88,0.92,0.83,,80.0,Satisfactory
Thiruvananthapuram,2015-12-19,66.45,103.16,11.32,17.89,21.32,9.56,1.08,8.35,24.96,,,,122.0,Moderate
Bengaluru,2017-03-12,36.14,120.34,12.24,24.69,24.46,11.62,0.95,5.83,19.19,2.39,6.4,,84.0,Satisfactory
Thiruvananthapuram,2018-03-09,32.56,37.3,2.96,9.28,5.3,3.92,0.73,3.71,38.5,,,,53.0,Satisfactory
Bengaluru,2017-05-06,41.93,65.96,12.42,37.54,0.0,70.75,0.67,7.22,26.4,0.39,2.45,,66.0,Satisfactory
Bengaluru,2017-04-17,39.09,72.78,11.58,62.39,0.0,27.54,0.84,8.44,33.92,2.19,1.6,,90.0,Satisfactory
Visakhapatnam,2019-09-14,51.95,101.5,23.09,25.13,33.58,13.25,0.78,46.83,17.07,5.3,17.21,4.01,98.0,Satisfactory
Amaravati,2018-12-18,22.94,61.43,2.02,23.42,16.45,15.78,0.79,15.52,27.17,0.22,1.95,0.16,71.0,Satisfactory
Visakhapatnam,2020-01-01,41.4,97.18,10.19,37.11,32.92,21.1,0.7,7.06,19.25,5.99,7.69,5.21,96.0,Satisfactory
Lucknow,2020-04-30,35.47,,6.44,28.02,23.49,0.93,1.83,6.6,24.39,3.16,7.22,,88.0,Satisfactory
Amritsar,2019-03-29,14.63,55.79,7.74,9.86,21.28,6.59,0.55,7.88,20.73,2.54,3.83,6.34,67.0,Satisfactory
Lucknow,2020-01-03,304.37,,37.67,55.34,79.28,33.93,1.77,9.87,21.32,2.99,7.73,,384.0,Very Poor
Gurugram,2020-05-15,24.03,69.12,2.44,14.59,9.29,11.26,0.63,3.22,0.8,1.97,6.01,,100.0,Satisfactory
Visakhapatnam,2020-05-18,18.6,46.22,17.57,32.94,38.93,9.29,1.06,7.06,36.45,3.83,9.31,2.45,61.0,Satisfactory
Delhi,2018-12-14,251.82,355.25,71.91,38.36,78.47,29.21,1.48,12.99,23.04,5.68,34.11,0.56,370.0,Very Poor
Chandigarh,2017-05-08,25.75,58.24,0.89,8.69,6.46,0.94,0.41,8.58,17.59,2.75,0.87,1.14,59.0,Satisfactory
Delhi,2016-02-16,138.19,234.74,38.19,29.04,51.58,37.62,1.22,17.19,54.02,4.24,35.48,1.28,330.0,Very Poor
Amaravati,2020-04-29,23.75,67.95,4.31,8.49,7.47,7.01,0.54,11.16,31.49,0.91,3.65,0.34,80.0,Satisfactory
Mumbai,2018-06-03,,,,,55.15,11.62,0.0,,,0.0,0.0,0.0,,
Patna,2017-06-05,,,,,,,0.0,,,0.0,0.0,0.0,,
Mumbai,2017-11-20,,,,,32.89,,0.0,,,0.0,0.0,0.0,,
Mumbai,2016-04-10,,,,,25.77,,0.0,,,0.0,0.0,0.0,,
Mumbai,2016-02-20,,,,,29.77,,0.0,,,0.0,0.0,0.0,,
Chennai,2015-02-23,,,1.41,7.39,5.86,,0.59,9.59,20.69,0.36,0.0,,,
Ahmedabad,2015-03-04,,,9.87,48.44,46.3,,8.79,55.07,21.28,4.08,32.35,7.08,,
Mumbai,2018-09-29,36.54,,,,28.63,,2.09,13.17,41.26,0.27,,,90.0,Satisfactory
Patna,2017-04-25,,,,,,,,,,,,,,
Gurugram,2019-12-07,74.56,139.53,11.42,82.37,82.8,,1.47,14.37,25.7,,,,129.0,Moderate
Jorapokhar,2019-12-02,93.51,239.05,7.74,10.66,,10.91,,75.78,13.07,,,,217.0,Poor
Patna,2019-09-28,22.1,,18.1,77.19,46.39,,0.91,26.93,38.85,2.78,92.19,34.3,102.0,Moderate
Amaravati,2020-03-05,23.37,55.29,2.88,4.34,2.11,10.36,0.51,10.4,24.31,,,,41.0,Good
Shillong,2020-03-28,10.6,20.17,0.96,2.74,1.24,3.42,0.19,5.66,21.6,0.0,0.0,,37.0,Good
Jaipur,2017-06-05,37.04,130.84,14.27,28.39,,85.32,0.51,5.61,18.39,0.0,0.67,,108.0,Moderate
Talcher,2018-03-05,90.86,146.05,26.41,12.27,24.24,14.66,2.87,35.0,8.26,0.0,,,181.0,Moderate
Chennai,2017-08-01,18.68,,5.9,13.03,12.84,,0.02,5.96,12.16,0.09,0.08,,73.0,Satisfactory
